asset_id,zone_id,asset_type,max_anomaly_score,mean_anomaly_score,anomalous_intervals,critical_intervals,longest_persistence
SOLAR_07,ZONE_B,solar,0.8268014505532697,0.029804070883771197,40,11,4.0
WIND_02,ZONE_A,wind,0.6423323253023615,0.034732156397042566,24,4,4.0
WIND_01,ZONE_A,wind,0.640105388987055,0.03409923308647997,24,4,4.0
WIND_03,ZONE_A,wind,0.6433830358819982,0.033885534354692215,23,4,4.0
SOLAR_03,ZONE_A,solar,0.6075530862308927,0.092311559933114,23,4,4.0
SOLAR_08,ZONE_B,solar,0.6296239326833868,0.02210034769639583,22,4,4.0
SOLAR_01,ZONE_A,solar,0.6139060629403268,0.02078718487878151,22,4,4.0
SOLAR_04,ZONE_A,solar,0.6116741943027725,0.021819356469535405,22,4,4.0
SOLAR_06,ZONE_A,solar,0.6106913681779934,0.02102921321976227,22,4,4.0
SOLAR_02,ZONE_A,solar,0.609698657612863,0.021354621043475474,22,4,4.0
SOLAR_09,ZONE_B,solar,0.6354130969632075,0.021684008935737763,21,4,4.0
SOLAR_10,ZONE_B,solar,0.6201962696928426,0.02163138409695409,21,4,4.0
SOLAR_05,ZONE_A,solar,0.6114973381278689,0.0215291615272845,21,4,4.0
WIND_04,ZONE_B,wind,0.22652304617829472,0.03342696847695539,0,4,0.0
WIND_05,ZONE_B,wind,0.13879755174210454,0.022659239421522308,0,4,0.0
