asset_id,zone_id,asset_type,latest_timestamp,latest_generation_mw,latest_expected_generation_mw,latest_performance_ratio,latest_anomaly_score,latest_anomaly_status,persistence
,ZONE_A,solar,2026-01-31 03:30:00,118.8432,112.8329,1.053267265132776,,CRITICAL,
,ZONE_A,solar,2026-01-31 03:30:00,205.025,191.9863,1.0679147418331412,,CRITICAL,
,ZONE_A,solar,2026-01-31 03:30:00,129.6414,136.6308,0.9488446236134167,,CRITICAL,
,ZONE_A,solar,2026-01-31 03:30:00,69.5418,66.9977,1.0379729453399147,,CRITICAL,
,ZONE_A,solar,2026-01-31 03:30:00,13.808,13.8004,1.0005507086751109,,CRITICAL,
,ZONE_A,solar,2026-01-31 03:30:00,93.2968,98.0568,0.9514567067250819,,CRITICAL,
,ZONE_B,solar,2026-01-31 03:30:00,102.8232,99.2421,1.0360844843065595,,CRITICAL,
,ZONE_B,solar,2026-01-31 03:30:00,0.429,0.4417,0.9712474530224134,,CRITICAL,
,ZONE_B,solar,2026-01-31 03:30:00,121.4044,124.6855,0.9736849914384591,,CRITICAL,
,ZONE_B,solar,2026-01-31 03:30:00,40.8104,38.6382,1.0562189750040116,,CRITICAL,
,ZONE_A,wind,2026-01-31 03:30:00,11710.8269,11836.0681,0.9894186820368159,,CRITICAL,
,ZONE_A,wind,2026-01-31 03:30:00,11923.653,11301.9665,1.0550069317582917,,CRITICAL,
,ZONE_A,wind,2026-01-31 03:30:00,27948.6139,26333.9351,1.0613155152797502,,CRITICAL,
,ZONE_B,wind,2026-01-31 03:30:00,7663.2764,7265.3474,1.0547708152262616,,CRITICAL,
,ZONE_B,wind,2026-01-31 03:30:00,9104.6286,8965.5264,1.0155152295352117,,CRITICAL,
