timestamp,zone_id,grid_risk_level,grid_risk_probability,curtailment_probability,predicted_demand_mw,predicted_solar_mw,predicted_wind_mw,predicted_renewable_mw,predicted_net_load_mw,action_rank,resource_id,resource_type,action,action_mw,estimated_curtailment_before_mw,estimated_curtailment_after_mw,estimated_grid_stress_before,estimated_grid_stress_after,estimated_benefit
2026-01-02 00:00:00,ZONE_A,0,0.9963865,0.74519765,2321.853,0.0,600.1413,600.1413,1721.7117,1,BATTERY_ALL,battery,CHARGE,300.0,447.22388642794505,147.22388642794505,0.5825877190282209,0.7103659725891336,0
2026-01-02 00:00:00,ZONE_A,0,0.9963865,0.74519765,2321.853,0.0,600.1413,600.1413,1721.7117,2,RENEWABLE_ALL,renewable,CURTAIL,147.22388642794505,447.22388642794505,147.22388642794505,0.5825877190282209,0.7103659725891336,0
2026-01-02 00:15:00,ZONE_A,0,0.9968646,0.68785036,2290.2725,0.0,600.24646,600.24646,1690.0260400000002,1,BATTERY_ALL,battery,CHARGE,300.0,412.87974359972554,112.87974359972554,0.5708148890017709,0.6887805302976451,0
2026-01-02 00:15:00,ZONE_A,0,0.9968646,0.68785036,2290.2725,0.0,600.24646,600.24646,1690.0260400000002,2,RENEWABLE_ALL,renewable,CURTAIL,112.87974359972554,412.87974359972554,112.87974359972554,0.5708148890017709,0.6887805302976451,0
2026-01-02 00:30:00,ZONE_A,0,0.99448276,0.5269211,2287.6162,0.0,602.78235,602.78235,1684.83385,1,BATTERY_ALL,battery,CHARGE,300.0,317.618738922585,17.61873892258501,0.5597711397874369,0.6505193511219146,0
2026-01-02 00:30:00,ZONE_A,0,0.99448276,0.5269211,2287.6162,0.0,602.78235,602.78235,1684.83385,2,RENEWABLE_ALL,renewable,CURTAIL,17.61873892258501,317.618738922585,17.61873892258501,0.5597711397874369,0.6505193511219146,0
2026-01-02 00:45:00,ZONE_A,0,0.9963825,0.7241643,2290.0898,0.0,599.7137,599.7137,1690.3761000000002,1,BATTERY_ALL,battery,CHARGE,300.0,434.29125176091003,134.29125176091003,0.5677020417208993,0.6917852567943386,0
2026-01-02 00:45:00,ZONE_A,0,0.9963825,0.7241643,2290.0898,0.0,599.7137,599.7137,1690.3761000000002,2,RENEWABLE_ALL,renewable,CURTAIL,134.29125176091003,434.29125176091003,134.29125176091003,0.5677020417208993,0.6917852567943386,0
2026-01-02 01:00:00,ZONE_A,0,0.99658823,0.7252076,2287.9336,0.0,598.1698,598.1698,1689.7637999999995,1,BATTERY_ALL,battery,CHARGE,300.0,433.79728505047996,133.79728505047996,0.5648923845474354,0.6888344662873593,0
2026-01-02 01:00:00,ZONE_A,0,0.99658823,0.7252076,2287.9336,0.0,598.1698,598.1698,1689.7637999999995,2,RENEWABLE_ALL,renewable,CURTAIL,133.79728505047996,433.79728505047996,133.79728505047996,0.5648923845474354,0.6888344662873593,0
2026-01-02 01:15:00,ZONE_A,0,0.9963644,0.7241643,2291.0505,0.0,601.03186,601.03186,1690.0186399999998,1,BATTERY_ALL,battery,CHARGE,300.0,435.245816174598,135.24581617459802,0.5682721198584155,0.6926280676266211,0
2026-01-02 01:15:00,ZONE_A,0,0.9963644,0.7241643,2291.0505,0.0,601.03186,601.03186,1690.0186399999998,2,RENEWABLE_ALL,renewable,CURTAIL,135.24581617459802,435.245816174598,135.24581617459802,0.5682721198584155,0.6926280676266211,0
2026-01-02 01:30:00,ZONE_A,0,0.99697673,0.60983485,2291.539,0.94445384,602.73724,603.6817,1687.8573,1,BATTERY_ALL,battery,CHARGE,300.0,368.146138967245,68.14613896724501,0.5672597898137917,0.6724444011862218,0
2026-01-02 01:30:00,ZONE_A,0,0.99697673,0.60983485,2291.539,0.94445384,602.73724,603.6817,1687.8573,2,RENEWABLE_ALL,renewable,CURTAIL,68.14613896724501,368.146138967245,68.14613896724501,0.5672597898137917,0.6724444011862218,0
