timestamp,zone_id,risk_level,risk_probability,curtailment_probability,baseline_net_load,optimized_net_load,baseline_curtailment,optimized_curtailment,baseline_transmission_utilization,optimized_transmission_utilization,total_battery_charge,total_battery_discharge,total_demand_response,total_dispatch,total_renewable_curtailment,optimization_status,objective_value
2026-01-02 00:00:00,ZONE_A,0,0.9968694,0.40967986,1713.40397,1713.40397,0.0,0.0,0.5825877190282209,0.5825877190282209,0.0,0,0,0,0.0,OPTIMAL,0.0
2026-01-02 00:15:00,ZONE_A,0,0.99776745,0.5618314,1681.08626,2019.603016377436,338.51675637743597,38.51675637743597,0.5708148890017709,0.6675339624716904,300.0,0,0,0,38.51675637743597,OPTIMAL,400167.5637743597
2026-01-02 00:30:00,ZONE_A,0,0.99662906,0.68162185,1684.2427399999997,2094.596856765411,410.354116765411,110.35411676541099,0.5597711397874369,0.6770151734251276,300.0,0,0,0,110.35411676541099,OPTIMAL,1118541.16765411
2026-01-02 00:45:00,ZONE_A,0,0.9965224,0.7723703,1697.2082999999998,2160.9670017397098,463.75870173971,163.75870173970998,0.5677020417208993,0.700204528236164,300.0,0,0,0,163.75870173970998,OPTIMAL,1652587.0173970999
2026-01-02 01:00:00,ZONE_A,0,0.9960259,0.80190575,1683.4568,2161.522776303225,478.06597630322494,178.06597630322494,0.5648923845474354,0.701482663818445,300.0,0,0,0,178.06597630322494,OPTIMAL,1795659.7630322494
2026-01-02 01:15:00,ZONE_A,0,0.99676126,0.40967986,1691.2267000000002,1691.2267000000002,0.0,0.0,0.5682721198584155,0.5682721198584155,0.0,0,0,0,0.0,OPTIMAL,0.0
2026-01-02 01:30:00,ZONE_A,0,0.9978041,0.5526096,1683.359,2016.06998813504,332.71098813504005,32.710988135040054,0.5672597898137917,0.6623200723540227,300.0,0,0,0,32.710988135040054,OPTIMAL,342109.88135040057
2026-01-02 01:45:00,ZONE_A,0,0.99676126,0.65401924,1685.1219299999998,2079.4657542240025,394.3438242240028,94.34382422400279,0.5639552344426603,0.6766248987672907,300.0,0,0,0,94.34382422400279,OPTIMAL,958438.2422400279
2026-01-02 02:00:00,ZONE_A,0,0.9967037,0.7101225,1687.4675,2114.83505623175,427.36755623175003,127.36755623175003,0.5672206022449303,0.6893256185917764,300.0,0,0,0,127.36755623175003,OPTIMAL,1288675.5623175004
2026-01-02 02:15:00,ZONE_A,0,0.99625695,0.8337823,1697.6805000000002,2196.03309787053,498.35259787052996,198.35259787052996,0.5717507679752245,0.7141372248394677,300.0,0,0,0,198.35259787052996,OPTIMAL,1998525.9787052996
2026-01-02 02:30:00,ZONE_A,0,0.9964425,0.77793235,1692.9152,2159.94673073603,467.03153073603,167.03153073603,0.5873336065752062,0.7207711870938555,300.0,0,0,0,167.03153073603,OPTIMAL,1685315.3073602999
