asset_id,zone_id,asset_type,latest_timestamp,anomaly_score,anomaly_status,primary_root_cause,confidence,estimated_impact_mw
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-6.010300000000001
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,-13.038700000000006
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,6.989399999999989
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,6.989399999999989
,ZONE_A,SOLAR,2026-01-31 03:30:00,,CRITICAL,WEATHER_RELATED,MEDIUM,6.989399999999989
