asset_id,timestamp,performance_ratio,norm_residual,peer_deviation,grid_signal,persistence_signal,sudden_signal,degradation_signal,primary_root_cause,confidence
SOLAR_01,2026-01-01 00:00:00,1.0,0.0,0.0,0.5390008002569371,0.0,,,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 00:15:00,1.0,0.0,0.0,0.5327577686759203,0.0,0.0,,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 00:30:00,1.0,0.0,0.0,0.5444761578219168,0.0,0.0,,WEATHER_RELATED,MEDIUM
SOLAR_01,2026-01-01 00:45:00,1.0,0.0,0.0,0.5377816314396151,0.0,0.0,,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 01:00:00,1.0,0.0,0.0,0.5370493612935916,0.0,0.0,-0.0,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 01:15:00,1.0,0.0,0.0,0.5350270598776544,0.0,0.0,-0.0,WEATHER_RELATED,MEDIUM
SOLAR_01,2026-01-01 01:30:00,1.0,0.0,0.0,0.5331543365674649,0.0,0.0,-0.0,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 01:45:00,1.0,0.0,0.0,0.5469357497928476,0.0,0.0,-0.0,WEATHER_RELATED,MEDIUM
SOLAR_01,2026-01-01 02:00:00,1.0,0.0,0.0,0.5395432811213213,0.0,0.0,-0.0,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 02:15:00,1.0,0.0,0.0,0.5394481625211534,0.0,0.0,-0.0,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 02:30:00,1.0,0.0,0.0,0.5464957171109852,0.0,0.0,-0.0,WEATHER_RELATED,MEDIUM
SOLAR_01,2026-01-01 02:45:00,1.0,0.0,0.0,0.5334027909486103,0.0,0.0,-0.0,WEATHER_RELATED,LOW
SOLAR_01,2026-01-01 03:00:00,1.0,0.0,0.0,0.5423188435366446,0.0,0.0,-0.0,WEATHER_RELATED,MEDIUM
