timestamp,asset_id,asset_type,zone_id,capacity_kw,expected_power_kw,actual_power_kw,performance_ratio,irradiance_wm2,ambient_temp_c,asset_temp_c,dc_voltage_v,dc_current_a,ac_voltage_v,ac_current_a,power_factor,wind_speed_ms,wind_direction_deg,fault_code,communication_status,maintenance_age_days,curtailment_command_kw,anomaly_ground_truth,root_cause_ground_truth,month,day_of_month,hour,minute,day_of_week,is_weekend,week_of_year,power_deviation_kw,power_deviation_pct,actual_power_lag_1,performance_ratio_lag_1,actual_power_lag_4,performance_ratio_lag_4,actual_power_lag_96,performance_ratio_lag_96,performance_ratio_rolling_mean_1h,performance_ratio_rolling_mean_6h,performance_ratio_rolling_std_6h,performance_ratio_change_15m,performance_ratio_change_1h,performance_ratio_change_24h
2026-01-01 00:00:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,15.993428306022466,15.993428306022466,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,0,0,3,0,1,0.0,,,,,,,,,,,,,
2026-01-01 00:15:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,14.734176781464614,14.734176781464614,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,0,15,3,0,1,0.0,,0.0,1.0,,,,,,,,0.0,,
2026-01-01 00:30:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,16.338152769332332,16.338152769332332,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,0,30,3,0,1,0.0,,0.0,1.0,,,,,,,,0.0,,
2026-01-01 00:45:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,18.1421333107999,18.1421333107999,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,0,45,3,0,1,0.0,,0.0,1.0,,,,,,,,0.0,,
2026-01-01 01:00:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,14.702064119107987,14.702064119107987,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,1,0,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
2026-01-01 01:15:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,14.797075438626113,14.797075438626113,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,1,15,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
2026-01-01 01:30:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,18.53902796845835,18.53902796845835,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,1,30,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
2026-01-01 01:45:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,17.050505750642376,17.050505750642376,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,1,45,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
2026-01-01 02:00:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,14.730924209207902,14.730924209207902,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,2,0,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
2026-01-01 02:15:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,16.927772025659205,16.927772025659205,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,2,15,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
2026-01-01 02:30:00,SOLAR_01,solar,ZONE_A,156181.01782710437,0.0,0.0,1.0,0.0,15.1063979129189,15.1063979129189,1200,0.0,400,0.0,0.99,0.0,0.0,NONE,OK,100,0.0,0,,1,1,2,30,3,0,1,0.0,,0.0,1.0,0.0,1.0,,,1.0,,,0.0,0.0,
