target_timestamp,zone_id,baseline_demand_mw,baseline_renewable_mw,baseline_curtailment_mw,baseline_transmission_flow_mw,baseline_transmission_utilization_pct,baseline_overload_mw,battery_charge_mw,battery_discharge_mw,demand_response_mw,dispatch_generation_mw,renewable_curtailment_action_mw,optimized_curtailment_mw,optimized_transmission_flow_mw,optimized_transmission_utilization_pct,optimized_overload_mw,curtailment_avoided_mw,additional_renewable_absorbed_mw,flow_reduction_mw,baseline_overload_intervals,optimized_overload_intervals,curtailment_event_ground_truth
2026-01-02 01:00:00,ZONE_A,2351.085314646502,611.6772367001615,6.978123270375932,2039.057016598773,0.5825877190282209,0.0,300.0,0,0,0,147.22388642794505,147.22388642794505,2339.057016598773,0.6683020047425066,0.0,-140.24576315756912,-140.24576315756912,-299.9999999999998,0,0,0
2026-01-02 01:15:00,ZONE_A,2299.5257724227454,610.0458396390255,3.218175156063125,1997.852111506198,0.5708148890017709,0.0,300.0,0,0,0,112.87974359972554,112.87974359972554,2297.852111506198,0.6565291747160565,0.0,-109.66156844366242,-109.66156844366242,-300.0,0,0,0
2026-01-02 01:30:00,ZONE_A,2251.248113516655,593.9802044492586,0.0,1959.1989892560289,0.5597711397874369,0.0,300.0,0,0,0,17.61873892258501,17.61873892258501,2259.1989892560287,0.6454854255017225,0.0,-17.61873892258501,-17.618738922585067,-299.9999999999998,0,0,0
2026-01-02 01:45:00,ZONE_A,2285.906489372502,604.777786214465,4.396045687462674,1986.9571460231475,0.5677020417208993,0.0,300.0,0,0,0,134.29125176091003,134.29125176091003,2286.9571460231473,0.653416327435185,0.0,-129.89520607344735,-129.89520607344735,-299.9999999999998,0,0,0
2026-01-02 02:00:00,ZONE_A,2273.619839390543,610.6907923367165,15.602129620857228,1977.123345916024,0.5648923845474354,0.0,300.0,0,0,0,133.79728505047996,133.79728505047996,2277.123345916024,0.6506066702617211,0.0,-118.19515542962273,-118.19515542962273,-300.0,0,0,0
2026-01-02 02:15:00,ZONE_A,2288.391306319766,610.6623823562388,5.882939820552565,1988.9524195044544,0.5682721198584155,0.0,300.0,0,0,0,135.24581617459802,135.24581617459802,2288.952419504454,0.6539864055727012,0.0,-129.36287635404545,-129.36287635404545,-299.9999999999998,0,0,0
2026-01-02 02:30:00,ZONE_A,2284.037743885829,607.2326882672614,6.726138631987055,1985.4092643482709,0.5672597898137917,0.0,300.0,0,0,0,68.14613896724501,68.14613896724501,2285.409264348271,0.6529740755280774,0.0,-61.42000033525795,-61.420000335257896,-300.0,0,0,0
2026-01-02 02:45:00,ZONE_A,2269.52650623889,598.8582238601163,0.0,1973.843320549311,0.5639552344426603,0.0,300.0,0,0,0,162.87367415856005,162.87367415856005,2273.843320549311,0.649669520156946,0.0,-162.87367415856005,-162.87367415856005,-300.0,0,0,0
2026-01-02 03:00:00,ZONE_A,2283.8438449891737,616.4485440862067,18.526710945331047,1985.272107857256,0.5672206022449303,0.0,300.0,0,0,0,157.52416984854003,157.52416984854003,2285.272107857256,0.652934887959216,0.0,-138.99745890320898,-138.997458903209,-299.9999999999998,0,0,0
2026-01-02 03:15:00,ZONE_A,2303.644807797169,595.6917112273267,0.0,2001.1276879132856,0.5717507679752245,0.0,300.0,0,0,0,133.78864552849495,133.78864552849495,2301.1276879132856,0.6574650536895101,0.0,-133.78864552849495,-133.78864552849495,-300.0,0,0,0
